tag,release_datetime
v1.0.979-beta,2024-08-29T12:41:29
v1.0.980-beta,2024-09-06T10:15:28
v1.0.981-beta,2024-09-12T09:53:37
v1.1.0-beta,2024-09-19T09:16:53
v1.1.1-beta,2024-09-19T10:36:47
v1.1.2-beta,2024-09-26T10:04:21
v1.2.0-beta,2024-10-03T09:23:56
v1.3.0-beta,2024-10-10T09:36:15
v1.3.1-beta,2024-10-17T09:07:46
v1.3.2-beta,2024-10-24T10:00:34
v1.3.3-beta,2024-10-31T10:39:36
v1.3.4-beta,2024-11-07T15:07:47
v1.3.5-beta,2024-11-15T11:42:49
v1.3.6-beta,2024-11-21T11:19:11
v1.3.7-beta,2024-11-28T11:13:39
v1.3.8-beta,2024-12-05T13:00:32
v1.3.9-beta,2025-01-08T16:31:06
v1.3.10-beta,2025-01-16T09:32:21
v1.3.11-beta,2025-01-23T11:00:33
v1.3.12-beta,2025-02-07T10:17:04
v1.3.13-beta,2025-02-13T09:55:40
v1.3.14-beta,2025-02-26T17:06:39
v1.3.15-beta,2025-03-06T08:54:37
v1.3.16-beta,2025-03-13T09:13:23
v1.3.17-beta,2025-03-20T08:59:59
v1.3.18-beta,2025-03-27T11:36:04
v1.3.19-beta,2025-04-03T09:54:06
v1.3.20-beta,2025-04-11T08:18:43
v1.3.21-beta,2025-04-24T10:32:08
v1.3.22-beta,2025-05-15T15:37:02
v1.3.23-beta,2025-05-29T09:45:51
v1.3.24-beta,2025-06-09T11:26:52
v1.3.25-beta,2025-06-13T09:35:57
v1.3.26-beta,2025-07-07T13:05:27
v1.3.28-beta,2025-07-17T08:46:01
