tag,release_datetime
v1.0.979-beta,2024-08-29T12:45:16
v1.0.980-beta,2024-09-06T10:19:42
v1.0.981-beta,2024-09-12T09:57:49
v1.1.0-beta,2024-09-19T09:21:11
v1.1.1-beta,2024-09-19T10:41:08
v1.1.2-beta,2024-09-26T10:07:45
v1.2.0-beta,2024-10-03T09:27:00
v1.3.0-beta,2024-10-10T09:19:10
v1.3.1-beta,2024-10-17T09:11:10
v1.3.2-beta,2024-10-24T10:03:44
v1.3.3-beta,2024-10-31T10:42:42
v1.3.4-beta,2024-11-07T15:11:17
v1.3.5-beta,2024-11-15T11:46:04
v1.3.6-beta,2024-11-21T11:22:40
v1.3.7-beta,2024-11-28T11:17:04
v1.3.8-beta,2024-12-05T13:03:48
v1.3.9-beta,2025-01-08T16:34:07
v1.3.10-beta,2025-01-16T09:35:15
v1.3.11-beta,2025-01-23T11:03:51
v1.3.12-beta,2025-02-07T10:20:25
v1.3.13-beta,2025-02-13T09:58:50
v1.3.14-beta,2025-02-26T17:10:11
v1.3.15-beta,2025-03-06T08:57:37
v1.3.16-beta,2025-03-13T09:16:42
v1.3.17-beta,2025-03-20T09:03:10
v1.3.18-beta,2025-03-27T11:39:45
v1.3.19-beta,2025-04-03T09:57:06
v1.3.20-beta,2025-04-11T08:21:38
v1.3.21-beta,2025-04-24T10:35:38
v1.3.22-beta,2025-05-15T15:40:02
v1.3.23-beta,2025-05-29T09:49:50
v1.3.24-beta,2025-06-09T11:30:06
v1.3.25-beta,2025-06-13T09:39:20
v1.3.26-beta,2025-07-07T13:08:45
v1.3.28-beta,2025-07-17T08:49:06
v1.3.29-beta,2025-07-24T08:28:29
v1.3.30-beta,2025-07-31T15:35:11
v1.4.0-beta,2025-08-08T11:17:48
v1.4.1-beta,2025-08-13T23:17:06
v1.4.2-beta,2025-08-27T11:45:10
v1.4.3-beta,2025-09-03T12:30:09
v1.4.4-beta,2025-09-11T11:55:38
v1.4.5-beta,2025-09-17T12:01:29
v1.4.6-beta,2025-10-01T12:11:41
v1.4.7-beta,2025-10-09T09:08:02
v1.4.8-beta,2025-10-16T13:47:04
v1.4.9-beta,2025-10-23T10:52:45
v1.4.10-beta,2025-10-29T13:58:24
v1.4.11-beta,2025-11-05T14:06:28
v1.4.12-beta,2025-11-13T11:06:56
v1.4.13-beta,2025-11-21T09:31:47
v1.4.14-beta,2025-11-26T17:05:24
v1.4.15-beta,2025-12-03T14:55:17
v1.5.0-beta,2025-12-10T13:06:23
v1.6.0-beta,2026-01-08T12:44:38
v1.6.0-beta,2026-01-09T09:41:20
v1.6.0-beta,2026-01-09T10:05:58
v1.6.1-beta,2026-01-12T13:17:02
v1.6.2-beta,2026-01-14T15:12:01
v1.6.5-beta,2026-01-19T11:57:01
v1.7.0-beta,2026-01-29T12:48:08
v1.7.0-beta,2026-01-29T13:19:06
v1.8.0-beta,2026-01-30T14:49:10
v1.8.1-beta,2026-02-04T16:49:36
v1.9.1-beta,2026-02-11T17:30:04
v1.9.3-beta,2026-02-17T10:24:49
v1.9.4-beta,2026-02-17T16:56:27
v1.9.5-beta,2026-02-25T09:20:58
