tag,release_datetime
cac3014,2024-08-27T14:07:10
v1.0.979-beta,2024-08-29T12:38:56
4d3250e,2024-08-29T14:59:54
v1.0.980-beta,2024-09-06T10:12:55
v1.0.981-beta,2024-09-12T09:51:21
e573cbf,2024-09-17T12:21:45
656ed47,2024-09-17T12:51:10
v1.1.0-beta,2024-09-19T09:10:15
v1.1.1-beta,2024-09-19T10:32:41
v1.1.2-beta,2024-09-26T09:50:31
0ffa47e,2024-10-01T11:22:39
9ee6545,2024-10-01T15:03:24
v1.2.0-beta,2024-10-03T09:01:41
15d5330,2024-10-07T16:19:13
v1.3.0-beta,2024-10-10T09:12:09
v1.3.1-beta,2024-10-17T08:47:46
v1.3.2-beta,2024-10-24T09:56:49
v1.3.3-beta,2024-10-31T10:35:38
v1.3.4-beta,2024-11-07T15:00:53
2424e75,2024-11-12T14:34:45
v1.3.5-beta,2024-11-15T11:39:05
v1.3.6-beta,2024-11-21T11:10:13
v1.3.7-beta,2024-11-28T10:57:04
v1.3.8-beta,2024-12-05T12:45:33
v1.3.9-beta,2025-01-08T16:19:56
v1.3.10-beta,2025-01-16T09:20:19
v1.3.11-beta,2025-01-23T10:40:34
v1.3.12-beta,2025-02-07T10:13:39
v1.3.13-beta,2025-02-13T09:42:57
v1.3.14-beta,2025-02-26T16:40:50
v1.3.15-beta,2025-03-06T08:49:43
v1.3.16-beta,2025-03-13T09:07:57
v1.3.17-beta,2025-03-20T08:56:04
v1.3.18-beta,2025-03-27T11:32:11
v1.3.19-beta,2025-04-03T09:49:53
v1.3.20-beta,2025-04-11T07:30:44
v1.3.21-beta,2025-04-24T10:27:00
3de2eae0,2025-05-13T16:57:51
v1.3.22-beta,2025-05-15T15:31:42
v1.3.23-beta,2025-05-29T09:41:19
v1.3.24-beta,2025-06-09T11:22:07
v1.3.25-beta,2025-06-13T09:32:34
27dbde4b,2025-07-03T15:05:28
9db83117,2025-07-07T09:46:31
v1.3.26-beta,2025-07-07T12:48:58
v1.3.28-beta,2025-07-17T08:40:11
v1.3.29-beta,2025-07-24T08:04:44
v1.3.30-beta,2025-07-31T15:12:44
bf923e59,2025-08-01T16:59:02
d7e40af0,2025-08-08T09:39:25
v1.4.0-beta,2025-08-08T11:07:55
v1.4.1-beta,2025-08-13T22:58:27
v1.4.2-beta,2025-08-27T11:29:24
