tag,release_datetime
v1.0.979-beta,2024-09-03T09:23:59
v1.0.980-beta,2024-09-10T09:12:39
v1.0.981-beta,2024-09-17T09:15:15
v1.1.1-beta,2024-09-23T14:19:30
v1.1.2-beta,2024-10-01T09:07:34
v1.2.0-beta,2024-10-08T09:07:23
v1.3.0-beta,2024-10-15T09:12:48
v1.3.1-beta,2024-10-22T09:19:35
v1.3.2-beta,2024-10-29T10:37:29
v1.3.3-beta,2024-11-05T11:01:20
v1.3.4-beta,2024-11-12T11:01:15
v1.3.5-beta,2024-11-19T10:29:52
v1.3.6-beta,2024-11-26T10:27:48
v1.3.7-beta,2024-12-03T10:34:24
v1.3.8-beta,2024-12-10T10:21:18
v1.3.9-beta,2025-01-14T10:32:19
v1.3.10-beta,2025-01-21T10:26:06
v1.3.11-beta,2025-01-28T10:15:46
v1.3.12-beta,2025-02-11T10:32:03
v1.3.13-beta,2025-02-18T10:29:51
v1.3.14-beta,2025-03-04T10:28:51
v1.3.15-beta,2025-03-11T10:40:59
v1.3.16-beta,2025-03-18T10:08:36
v1.3.17-beta,2025-03-25T10:21:57
v1.3.18-beta,2025-04-01T09:12:55
v1.3.19-beta,2025-04-08T09:18:53
v1.3.20-beta,2025-04-15T09:27:03
v1.3.21-beta,2025-04-29T09:21:45
v1.3.22-beta,2025-05-20T09:07:07
v1.3.23-beta,2025-06-03T09:19:59
v1.3.24-beta,2025-06-10T09:25:57
v1.3.25-beta,2025-06-23T01:44:53
v1.3.28-beta,2025-07-22T09:40:04
v1.3.29-beta,2025-07-29T09:17:24
v1.3.30-beta,2025-08-05T09:07:37
v1.4.0-beta,2025-08-14T09:22:47
v1.4.1-beta,2025-08-19T09:17:18
v1.4.2-beta,2025-09-02T09:11:57
v1.4.3-beta,2025-09-09T09:07:32
v1.4.4-beta,2025-09-16T09:14:41
v1.4.5-beta,2025-09-23T09:39:19
v1.4.6-beta,2025-10-07T09:12:26
v1.4.7-beta,2025-10-14T09:18:13
v1.4.8-beta,2025-10-21T14:16:49
v1.4.9-beta,2025-10-28T11:10:09
v1.4.10-beta,2025-11-04T11:22:22
v1.4.11-beta,2025-11-11T10:24:39
v1.4.12-beta,2025-11-18T10:56:48
v1.4.13-beta,2025-11-25T10:11:21
v1.4.14-beta,2025-12-02T10:16:20
v1.4.15-beta,2025-12-09T10:28:40
v1.5.0-beta,2025-12-16T10:20:52
v1.6.5-beta,2026-01-20T15:15:40
v1.7.0-beta,2026-01-29T13:45:10
v1.7.0-beta,2026-01-29T14:01:00
v1.8.0-beta,2026-02-03T10:33:13
v1.8.1-beta,2026-02-11T10:49:53
v1.9.1-beta,2026-02-17T11:48:37
v1.9.4-beta,2026-02-24T10:24:10
