tag,release_datetime
v1.0.979-beta,2024-08-29T12:38:58
v1.0.980-beta,2024-09-06T10:13:18
v1.0.981-beta,2024-09-12T09:51:11
v1.1.0-beta,2024-09-19T09:10:01
v1.1.1-beta,2024-09-19T10:32:40
v1.1.2-beta,2024-09-26T09:50:38
v1.2.0-beta,2024-10-03T09:01:30
v1.3.0-beta,2024-10-10T09:12:11
v1.3.1-beta,2024-10-17T08:48:07
v1.3.2-beta,2024-10-24T09:57:02
v1.3.3-beta,2024-10-31T10:35:37
v1.3.4-beta,2024-11-07T15:01:04
v1.3.5-beta,2024-11-19T10:29:15
v1.3.6-beta,2024-11-21T11:10:02
v1.3.7-beta,2024-11-28T10:57:27
v1.3.8-beta,2024-12-05T12:45:35
v1.3.9-beta,2025-01-08T16:20:08
v1.3.10-beta,2025-01-16T09:19:53
v1.3.11-beta,2025-01-23T10:40:19
v1.3.12-beta,2025-02-07T10:13:21
v1.3.13-beta,2025-02-13T09:42:56
v1.3.14-beta,2025-02-26T16:40:56
v1.3.15-beta,2025-03-06T08:49:52
v1.3.16-beta,2025-03-13T09:07:23
v1.3.17-beta,2025-03-20T08:55:51
v1.3.18-beta,2025-03-27T11:32:20
v1.3.19-beta,2025-04-03T09:50:05
v1.3.20-beta,2025-04-11T07:30:48
v1.3.21-beta,2025-04-24T10:26:48
v1.3.22-beta,2025-05-15T15:31:40
v1.3.23-beta,2025-05-29T09:41:18
v1.3.24-beta,2025-06-09T11:21:53
v1.3.25-beta,2025-06-13T09:32:34
v1.3.26-beta,2025-07-07T12:49:08
v1.3.28-beta,2025-07-17T08:40:08
v1.3.29-beta,2025-07-24T08:04:40
v1.3.30-beta,2025-07-31T15:12:34
v1.4.2-beta,2025-08-27T11:28:55
v1.4.3-beta,2025-09-03T12:19:25
v1.4.4-beta,2025-09-11T11:46:11
v1.4.5-beta,2025-09-17T11:03:43
v1.4.6-beta,2025-10-01T12:00:23
v1.4.7-beta,2025-10-09T08:58:39
v1.4.8-beta,2025-10-16T13:34:19
v1.4.9-beta,2025-10-23T10:41:40
v1.4.10-beta,2025-10-29T13:47:55
v1.4.11-beta,2025-11-05T13:13:53
v1.4.12-beta,2025-11-13T10:57:27
v1.4.13-beta,2025-11-21T09:15:15
v1.4.14-beta,2025-11-26T16:57:25
v1.4.15-beta,2025-12-03T14:04:43
v1.5.0-beta,2025-12-10T12:57:37
v1.6.0-beta,2026-01-08T12:31:08
v1.6.1-beta,2026-01-12T13:01:45
v1.6.2-beta,2026-01-14T14:57:03
v1.6.5-beta,2026-01-19T11:39:27
v1.7.0-beta,2026-01-29T12:34:48
v1.8.0-beta,2026-01-30T14:08:28
v1.8.1-beta,2026-02-04T16:14:44
v1.9.1-beta,2026-02-11T17:15:36
v1.9.3-beta,2026-02-17T10:04:33
v1.9.4-beta,2026-02-17T16:42:49
v1.9.5-beta,2026-02-25T08:56:41
